course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
IoT for Beginners,Microsoft Learn,https://github.com/microsoft/IoT-For-Beginners,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Apprentice,60 h,None unless stated in path,"Teaches IoT for Beginners through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Cybersecurity for Beginners,Microsoft Learn,https://github.com/microsoft/Security-101,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Newbie; Apprentice,30 h,None unless stated in path,"Teaches Cybersecurity for Beginners through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Introduction to Visual Studio Code,Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/introduction-to-visual-studio-code/,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,1 h,None unless stated in path,"Teaches Introduction to Visual Studio Code through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Use DevTools to debug JavaScript,Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/use-developer-tools-to-debug-javascript/,Course/module,free,No fee for learning materials.,English,No,4. Web development,,Apprentice,1 h,None unless stated in path,"Teaches Use DevTools to debug JavaScript through structured lessons or projects covering HTML, CSS, JavaScript and practical web application development.",Official Microsoft Learn free module/path; certification exam separate,unresolved/deep link may have moved; retained and flagged September 2026
Create and manage environments in Azure,Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/az-104-manage-identities-governance/,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Adept,12 h,None unless stated in path,"Teaches Create and manage environments in Azure through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Develop Azure Functions,Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/create-serverless-applications/,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Adept,10 h,None unless stated in path,"Teaches Develop Azure Functions through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Implement a data analytics solution with Azure Synapse,Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/implement-data-analytics-azure-synapse/,Course/module,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Adept,12 h,None unless stated in path,"Teaches Implement a data analytics solution with Azure Synapse through structured lessons or projects covering statistics, analysis, visualization and evidence-based work with data.",Official Microsoft Learn free module/path; certification exam separate,unresolved/deep link may have moved; retained and flagged September 2026
Fundamentals of responsible generative AI,Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/responsible-generative-ai/,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Newbie; Apprentice,1 h,None unless stated in path,"Teaches Fundamentals of responsible generative AI through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official Microsoft Learn free module/path; certification exam separate,active/reachable; fetched September 2026
Introduction to Cybersecurity,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/introduction-to-cybersecurity,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Newbie,6 h,None for introductory courses; prior networking for advanced paths,"Teaches Introduction to Cybersecurity through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Cybersecurity Essentials,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/cybersecurity-essentials,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Apprentice,30 h,None for introductory courses; prior networking for advanced paths,"Teaches Cybersecurity Essentials through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Networking Basics,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/networking-basics,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Newbie; Apprentice,22 h,None for introductory courses; prior networking for advanced paths,"Teaches Networking Basics through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
Networking Devices and Initial Configuration,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/networking-devices-and-initial-configuration,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Apprentice,22 h,None for introductory courses; prior networking for advanced paths,"Teaches Networking Devices and Initial Configuration through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Network Addressing and Basic Troubleshooting,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/network-addressing-and-basic-troubleshooting,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Apprentice,14 h,None for introductory courses; prior networking for advanced paths,"Teaches Network Addressing and Basic Troubleshooting through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
Network Support and Security,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/network-support-and-security,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Apprentice,12 h,None for introductory courses; prior networking for advanced paths,"Teaches Network Support and Security through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Python Essentials 1,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/python-essentials-1,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,30 h,None for introductory courses; prior networking for advanced paths,"Teaches Python Essentials 1 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Python Essentials 2,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/python-essentials-2,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Apprentice,40 h,None for introductory courses; prior networking for advanced paths,"Teaches Python Essentials 2 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
JavaScript Essentials 1,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/javascript-essentials-1,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,40 h,None for introductory courses; prior networking for advanced paths,"Teaches JavaScript Essentials 1 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
C++ Essentials 1,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/c-essentials-1,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Newbie,30 h,None for introductory courses; prior networking for advanced paths,"Teaches C++ Essentials 1 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
C++ Essentials 2,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/c-essentials-2,Course/module,free,No fee for learning materials.,English,No,3. Computational thinking & programming fundamentals,,Apprentice,40 h,None for introductory courses; prior networking for advanced paths,"Teaches C++ Essentials 2 through structured lessons or projects covering programming syntax, problem solving and computational thinking.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
Linux Unhatched,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/linux-unhatched,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Newbie,8 h,None for introductory courses; prior networking for advanced paths,"Teaches Linux Unhatched through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
Linux Essentials,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/linux-essentials,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Apprentice,70 h,None for introductory courses; prior networking for advanced paths,"Teaches Linux Essentials through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,active/reachable; fetched September 2026
Introduction to IoT and Digital Transformation,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/introduction-to-iot-and-digital-transformation,Course/module,free,No fee for learning materials.,English,No,1. Digital literacy & computer basics,,Newbie,6 h,None for introductory courses; prior networking for advanced paths,"Teaches Introduction to IoT and Digital Transformation through structured lessons or projects covering computer operation, internet use, digital safety and everyday digital tasks.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Ethical Hacker,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/ethical-hacker,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Adept,70 h,None for introductory courses; prior networking for advanced paths,"Teaches Ethical Hacker through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Junior Cybersecurity Analyst Career Path,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/junior-cybersecurity-analyst-career-path,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Apprentice; Adept,120 h,None for introductory courses; prior networking for advanced paths,"Teaches Junior Cybersecurity Analyst Career Path through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Network Technician Career Path,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/network-technician-career-path,Course/module,free,No fee for learning materials.,English,No,"9. Git, Linux/CLI, DevOps & cloud",,Apprentice,70 h,None for introductory courses; prior networking for advanced paths,"Teaches Network Technician Career Path through structured lessons or projects covering version control, command-line work, deployment, cloud and infrastructure operations.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Endpoint Security,Cisco Networking Academy / Skills for All,https://www.netacad.com/courses/endpoint-security,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Apprentice,27 h,None for introductory courses; prior networking for advanced paths,"Teaches Endpoint Security through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Cisco Networking Academy course; free access may require account,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Introduction to Computers series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Introduction+to+Computers&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,1. Digital literacy & computer basics,,Newbie; Apprentice,3–20 h,None or basic computing,Introduction to Computers step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: Linux series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Linux&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"9. Git, Linux/CLI, DevOps & cloud",,Newbie; Apprentice,3–20 h,None or basic computing,Linux step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: BASH series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=BASH&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"9. Git, Linux/CLI, DevOps & cloud",,Newbie; Apprentice,3–20 h,None or basic computing,BASH step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Python 3.4.3 series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Python+3.4.3&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Python 3.4.3 step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: C and C++ series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=C+and+C++&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,C and C++ step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Java series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Java&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Java step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: Advanced C++ series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Advanced+C++&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Advanced C++ step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Git series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Git&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"9. Git, Linux/CLI, DevOps & cloud",,Newbie; Apprentice,3–20 h,None or basic computing,Git step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: LibreOffice Suite series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=LibreOffice+Suite&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,3–20 h,None or basic computing,LibreOffice Suite step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: LibreOffice Writer series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=LibreOffice+Writer&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,3–20 h,None or basic computing,LibreOffice Writer step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: LibreOffice Calc series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=LibreOffice+Calc&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,3–20 h,None or basic computing,LibreOffice Calc step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: LibreOffice Impress series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=LibreOffice+Impress&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,3–20 h,None or basic computing,LibreOffice Impress step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: LaTeX series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=LaTeX&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,LaTeX step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: PHP and MySQL series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=PHP+and+MySQL&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,4. Web development,,Newbie; Apprentice,3–20 h,None or basic computing,PHP and MySQL step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: R series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=R&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,R step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Scilab series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Scilab&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,Scilab step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: Julia series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Julia&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,Julia step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Perl series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Perl&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Perl step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Ruby series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Ruby&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Ruby step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Blender series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Blender&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,14. Soft & career skills,,Newbie; Apprentice,3–20 h,None or basic computing,Blender step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: GIMP series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=GIMP&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,14. Soft & career skills,,Newbie; Apprentice,3–20 h,None or basic computing,GIMP step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: Inkscape series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Inkscape&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,14. Soft & career skills,,Newbie; Apprentice,3–20 h,None or basic computing,Inkscape step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Drupal series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Drupal&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,4. Web development,,Newbie; Apprentice,3–20 h,None or basic computing,Drupal step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: KTurtle series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=KTurtle&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,KTurtle step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Jamovi series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Jamovi&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,Jamovi step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: GeoGebra series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=GeoGebra&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,GeoGebra step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: QGIS series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=QGIS&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,QGIS step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Jmol series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Jmol&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Jmol step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Arduino series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Arduino&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Arduino step-by-step software training.,IIT Bombay project; Hindi filter link,active/reachable; fetched September 2026
Spoken Tutorial: FrontAccounting series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=FrontAccounting&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,FrontAccounting step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: DWSIM series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=DWSIM&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,DWSIM step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: OpenFOAM series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=OpenFOAM&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"13. Optional scientific computing (Julia, R)",,Newbie; Apprentice,3–20 h,None or basic computing,OpenFOAM step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: eSim series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=eSim&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,eSim step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Ngspice series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Ngspice&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Ngspice step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: GChemPaint series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=GChemPaint&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,GChemPaint step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Biopython series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Biopython&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,Biopython step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: CellDesigner series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=CellDesigner&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,CellDesigner step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Synfig series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Synfig&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,14. Soft & career skills,,Newbie; Apprentice,3–20 h,None or basic computing,Synfig step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Spoken Tutorial: Tux Typing series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=Tux+Typing&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,"2. Typing, productivity & office tools",,Newbie; Apprentice,3–20 h,None or basic computing,Tux Typing step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
